postal_code,address,building_name,building_function,latitude,longitude
188018,"101 VICTORIA STREET, SINGAPORE 188018",HOTEL GRAND PACIFIC,Hotel,,
168732,"302 TIONG BAHRU ROAD, SINGAPORE 168732",TIONG BAHRU PLAZA,Retail,,
518457,"1 PASIR RIS CENTRAL STREET 3, SINGAPORE 518457",,Retail,,
138547,"70 BIOPOLIS STREET, SINGAPORE 138547",,Office,,
609081,"15 SCIENCE CENTRE ROAD, SINGAPORE 609081",SINGAPORE SCIENCE CENTRE,Office,,
88762,"391 NEW BRIDGE ROAD, SINGAPORE 088762",POLICE CANTONMENT COMPLEX,Office,,
258510,"18 NAPIER ROAD, SINGAPORE 258510",,Office,,
49907,"2 BATTERY ROAD, SINGAPORE 049907",MAYBANK TOWER,Office,,
79908,"81 ANSON ROAD, SINGAPORE 079908",M HOTEL,Hotel,,
589472,"896 DUNEARN ROAD, SINGAPORE 589472",LINK@896,Mixed Development,,
68911,"39 ROBINSON ROAD, SINGAPORE 068911",ROBINSON POINT,Office,,
78884,"7 WALLICH STREET, SINGAPORE 078884",TANJONG PAGAR CENTRE,Office,,
679910,"101 BUKIT PANJANG ROAD, SINGAPORE 679910",,Office,,
48424,"8 CROSS STREET, SINGAPORE 048424",MANULIFE TOWER,Office,,
329727,"279 BALESTIER ROAD, SINGAPORE 329727",BALESTIER POINT,Retail,,
49315,"10 COLLYER QUAY, SINGAPORE 049315",OCEAN FINANCIAL CENTRE,Office,,
59724,"1 HAVELOCK SQUARE, SINGAPORE 059724",STATE COURTS,Office,,
39594,"6 RAFFLES BOULEVARD, SINGAPORE 039594",MARINA SQUARE,Retail,,
188980,"200 MIDDLE ROAD, SINGAPORE 188980",HOTEL G SINGAPORE,Hotel,,
219924,"3 BELILIOS ROAD, SINGAPORE 219924",HILTON GARDEN INN SINGAPORE SERANGOON,Hotel,,
298135,"510 THOMSON ROAD, SINGAPORE 298135",SLF BUILDING,Mixed Development,,
486854,"722 UPPER CHANGI ROAD EAST, SINGAPORE 486854",TECHSQ,Office,,
59763,"2 HAVELOCK ROAD, SINGAPORE 059763",HAVELOCK2,Retail,,
307683,"238 THOMSON ROAD, SINGAPORE 307683",NOVENA SQUARE,Office,,
329560,"28 IRRAWADDY ROAD, SINGAPORE 329560",NEW PHOENIX PARK,Office,,
428766,"46 EAST COAST ROAD, SINGAPORE 428766",EASTGATE,Office,,
249715,"1 CUSCADEN ROAD, SINGAPORE 249715",THE REGENT SINGAPORE,Hotel,,
239693,"1 GRANGE ROAD, SINGAPORE 239693",ORCHARD BUILDING,Office,,
499867,"1 AVIATION DRIVE, SINGAPORE 499867",,Office,,
238881,"541 ORCHARD ROAD, SINGAPORE 238881",LIAT TOWERS,Mixed Development,,
88756,"291 NEW BRIDGE ROAD, SINGAPORE 088756",THE ORIENTAL PLAZA,Retail,,
238868,"350 ORCHARD ROAD, SINGAPORE 238868",SHAW HOUSE,Office,,
228208,"1 SCOTTS ROAD, SINGAPORE 228208",SHAW CENTRE,Office,,
529510,"4 TAMPINES CENTRAL 5, SINGAPORE 529510",TAMPINES MALL,Retail,,
208533,"181 KITCHENER ROAD, SINGAPORE 208533",PARKROYAL ON KITCHENER ROAD,Hotel,,
228221,"16 SCOTTS ROAD, SINGAPORE 228221",GOODWOOD PARK HOTEL,Hotel,,
49323,"70 COLLYER QUAY, SINGAPORE 049323",CUSTOMS HOUSE,Hotel,,
99538,"51 IMBIAH WALK, SINGAPORE 099538",,Hotel,,
237995,"11 UNITY STREET, SINGAPORE 237995",ROBERTSON WALK,Hotel,,
486150,"1 EXPO DRIVE, SINGAPORE 486150",SINGAPORE EXPO,Retail,,
609920,"12 INTERNATIONAL BUSINESS PARK, SINGAPORE 609920",SWIBER@IBP,Office,,
68907,"140 ROBINSON ROAD, SINGAPORE 068907",CROWN AT ROBINSON,Office,,
509866,"351 CRANWELL ROAD, SINGAPORE 509866",CHANGI COVE,Hotel,,
238993,"53 MOHAMED SULTAN ROAD, SINGAPORE 238993",SULTAN-LINK,Office,,
238995,"55 MOHAMED SULTAN ROAD, SINGAPORE 238995",SULTAN-LINK,Office,,
238997,"57 MOHAMED SULTAN ROAD, SINGAPORE 238997",SULTAN-LINK,Office,,
238999,"59 MOHAMED SULTAN ROAD, SINGAPORE 238999",SULTAN-LINK,Office,,
239001,"61 MOHAMED SULTAN ROAD, SINGAPORE 239001",SULTAN-LINK,Office,,
239002,"63 MOHAMED SULTAN ROAD, SINGAPORE 239002",SULTAN-LINK,Office,,
228241,"51 SCOTTS ROAD, SINGAPORE 228241",,Office,,
534626,"756 UPPER SERANGOON ROAD, SINGAPORE 534626",UPPER SERANGOON SHOPPING CENTRE,Retail,,
278997,"118 HOLLAND AVENUE, SINGAPORE 278997",RAFFLES HOLLAND V,Retail,,
609431,"9 JURONG TOWN HALL ROAD, SINGAPORE 609431",JURONG TOWN HALL,Office,,
609434,"8 JURONG TOWN HALL ROAD, SINGAPORE 609434",THE JTC SUMMIT,Office,,
139961,"69 AYER RAJAH CRESCENT, SINGAPORE 139961",AYER RAJAH AMENITY CENTRE,Retail,,
138632,"1 FUSIONOPOLIS WAY, SINGAPORE 138632",CONNEXIS,Office,,
138667,"11 BIOPOLIS WAY, SINGAPORE 138667",HELIOS,Office,,
138634,"2 FUSIONOPOLIS WAY, SINGAPORE 138634",INNOVIS,Office,,
138635,"4 FUSIONOPOLIS WAY, SINGAPORE 138635",KINESIS,Office,,
138636,"6 FUSIONOPOLIS WAY, SINGAPORE 138636",SYNTHESIS,Office,,
238865,"320 ORCHARD ROAD, SINGAPORE 238865",SINGAPORE MARRIOTT TANG PLAZA HOTEL,Hotel,,
498760,"9 AVIATION PARK ROAD, SINGAPORE 498760",CHANGI EXHIBITION CENTRE,Retail,,
545078,"1 SENGKANG SQUARE, SINGAPORE 545078",COMPASS ONE,Retail,,
319639,"397 LORONG 2 TOA PAYOH, SINGAPORE 319639",,Office,,
529284,"5 TAMPINES STREET 32, SINGAPORE 529284",,Retail,,
59811,"90 EU TONG SEN STREET, SINGAPORE 059811",,Office,,
359340,"1 FRANCIS THOMAS DRIVE, SINGAPORE 359340",DIOCESAN CENTRE BUILDING,Office,,
39596,"9 RAFFLES BOULEVARD, SINGAPORE 039596",MILLENIA WALK,Mixed Development,,
39190,"3 TEMASEK AVENUE, SINGAPORE 039190",CENTENNIAL TOWER,Office,,
48622,"30 RAFFLES PLACE, SINGAPORE 048622",OXLEY @ RAFFLES,Office,,
187948,"10 PRINSEP LINK, SINGAPORE 187948",SUNSHINE PLAZA,Office,,
530205,"205 HOUGANG STREET 21, SINGAPORE 530205",HEARTLAND MALL- KOVAN,Retail,,
307987,"55 NEWTON ROAD, SINGAPORE 307987",REVENUE HOUSE,Office,,
79903,"10 ANSON ROAD, SINGAPORE 079903",INTERNATIONAL PLAZA,Office,,
68602,"137 TELOK AYER STREET, SINGAPORE 068602",,Office,,
169632,"403 HAVELOCK ROAD, SINGAPORE 169632",COPTHORNE KING'S HOTEL,Hotel,,
69533,"101 CECIL STREET, SINGAPORE 069533",TONG ENG BUILDING,Office,,
99891,"2 BUKIT MANIS ROAD, SINGAPORE 099891",THE SINGAPORE RESORT & SPA,Hotel,,
49247,"2 FINLAYSON GREEN, SINGAPORE 049247",ASCOTT SINGAPORE RAFFLES PLACE,Hotel,,
238855,"260 ORCHARD ROAD, SINGAPORE 238855",THE HEEREN,Mixed Development,,
49711,"64 CECIL STREET, SINGAPORE 049711",IOB BUILDING,Office,,
228796,"5 KOEK ROAD, SINGAPORE 228796",CUPPAGE PLAZA,Retail,,
229469,"51 CUPPAGE ROAD, SINGAPORE 229469",51 CUPPAGE ROAD,Office,,
486031,"20 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486031",RIGEL INNOVATION CENTRE,Office,,
529483,"2 TAMPINES CENTRAL 6, SINGAPORE 529483",INCOME AT TAMPINES POINT,Office,,
528833,"3 SIMEI STREET 6, SINGAPORE 528833",EASTPOINT MALL,Retail,,
188647,"30 PRINSEP STREET, SINGAPORE 188647",INCOME AT PRINSEP,Mixed Development,,
189557,"75 BRAS BASAH ROAD, SINGAPORE 189557",INCOME CENTRE,Office,,
237994,"1 KIM SENG PROMENADE, SINGAPORE 237994",GREAT WORLD CITY,Mixed Development,,
238883,"581 ORCHARD ROAD, SINGAPORE 238883",HILTON INTERNATIONAL SINGAPORE,Mixed Development,,
238876,"402 ORCHARD ROAD, SINGAPORE 238876",DELFI ORCHARD,Retail,,
119962,"456 ALEXANDRA ROAD, SINGAPORE 119962",FRAGRANCE EMPIRE BUILDING,Office,,
797653,"33 SENGKANG WEST AVENUE, SINGAPORE 797653",THE SELETAR MALL,Retail,,
486006,"15 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486006",HAITE BUILDING,Office,,
238857,"270 ORCHARD ROAD, SINGAPORE 238857",GRAND PARK ORCHARD,Hotel,,
48616,"1 RAFFLES PLACE, SINGAPORE 048616",ONE RAFFLES PLACE,Office,,
89058,"19 KEPPEL ROAD, SINGAPORE 089058",JIT POH BUILDING,Office,,
249716,"1A CUSCADEN ROAD, SINGAPORE 249716",JEN SINGAPORE TANGLIN BY SHANGRI-LA,Hotel,,
69538,"138 CECIL STREET, SINGAPORE 069538",CECIL COURT,Office,,
249564,"51 GRANGE ROAD, SINGAPORE 249564",,Office,,
149599,"402 COMMONWEALTH DRIVE, SINGAPORE 149599",,Office,,
138675,"1 NORTH BUONA VISTA DRIVE, SINGAPORE 138675",MOE BUILDING,Office,,
118221,"1 SCIENCE PARK DRIVE, SINGAPORE 118221",TUV SUD PSB BUILDING,Office,,
519599,"1 PASIR RIS CLOSE, SINGAPORE 519599",E!HUB@DOWNTOWN EAST,Mixed Development,,
528799,"3 TAMPINES GRANDE, SINGAPORE 528799",,Office,,
119963,"460 ALEXANDRA ROAD, SINGAPORE 119963",MTOWER,Office,,
229921,"20 BIDEFORD ROAD, SINGAPORE 229921",HOLIDAY INN EXPRESS SINGAPORE ORCHARD ROAD,Hotel,,
609926,"11 INTERNATIONAL BUSINESS PARK, SINGAPORE 609926",HI-P BUILDING,Office,,
179098,"111 NORTH BRIDGE ROAD, SINGAPORE 179098",PENINSULA PLAZA,Mixed Development,,
179020,"3A RIVER VALLEY ROAD, SINGAPORE 179020",MERCHANTS' COURT,Retail,,
228516,"21 MOUNT ELIZABETH, SINGAPORE 228516",YORK HOTEL,Hotel,,
200809,"809 FRENCH ROAD, SINGAPORE 200809",KITCHENER COMPLEX,Mixed Development,,
50336,"336 SMITH STREET, SINGAPORE 050336",NEW BRIDGE CENTRE,Office,,
750511,"511 CANBERRA ROAD, SINGAPORE 750511",SEMBAWANG MART,Retail,,
127371,"154 WEST COAST ROAD, SINGAPORE 127371",WEST COAST PLAZA,Retail,,
329802,"400 BALESTIER ROAD, SINGAPORE 329802",BALESTIER PLAZA,Retail,,
287994,"200 TURF CLUB ROAD, SINGAPORE 287994",THE GRANDSTAND,Retail,,
689578,"21 CHOA CHU KANG NORTH 6, SINGAPORE 689578",YEWTEE POINT,Retail,,
127367,"145 WEST COAST ROAD, SINGAPORE 127367",,Office,,
307506,"10 SINARAN DRIVE, SINGAPORE 307506",SQUARE 2,Mixed Development,,
199020,"500 JALAN SULTAN, SINGAPORE 199020",HOTEL BOSS,Hotel,,
208767,"70 JELLICOE ROAD, SINGAPORE 208767",V HOTEL LAVENDER,Hotel,,
209530,"3 DICKSON ROAD, SINGAPORE 209530",,Hotel,,
189623,"41 BENCOOLEN STREET, SINGAPORE 189623",HOTEL MI,Hotel,,
189627,"48 BENCOOLEN STREET, SINGAPORE 189627",V HOTEL BENCOOLEN,Hotel,,
424780,"1 ONAN ROAD, SINGAPORE 424780",TRISTAR INN,Hotel,,
329901,"592 BALESTIER ROAD, SINGAPORE 329901",VALUE HOTEL - THOMSON,Hotel,,
49317,"11 COLLYER QUAY, SINGAPORE 049317",THE ARCADE,Office,,
608549,"50 JURONG GATEWAY ROAD, SINGAPORE 608549",JEM,Retail,,
189649,"175 BENCOOLEN STREET, SINGAPORE 189649",BURLINGTON SQUARE,Office,,
228242,"50 SCOTTS ROAD, SINGAPORE 228242",,Office,,
329982,"16 AH HOOD ROAD, SINGAPORE 329982",RAMADA SINGAPORE AT ZHONGSHAN PARK,Hotel,,
538692,"1 HOUGANG STREET 91, SINGAPORE 538692",HOUGANG 1,Retail,,
239695,"8 GRANGE ROAD, SINGAPORE 239695",CATHAY CINELEISURE ORCHARD,Retail,,
229233,"2 HANDY ROAD, SINGAPORE 229233",THE CATHAY,Retail,,
533971,"1187 UPPER SERANGOON ROAD, SINGAPORE 533971",THE MIDTOWN,Retail,,
48659,"1 PICKERING STREET, SINGAPORE 048659",GREAT EASTERN CENTRE,Office,,
428802,"112 EAST COAST ROAD, SINGAPORE 428802",112 KATONG,Retail,,
259366,"21 EVANS ROAD, SINGAPORE 259366",SCHOOL OF PHYSICAL EDUCATION SWIMMING COMPLEX,Office,,
398007,"229 MOUNTBATTEN ROAD, SINGAPORE 398007",MOUNTBATTEN SQUARE,Office,,
609929,"16 INTERNATIONAL BUSINESS PARK, SINGAPORE 609929",,Office,,
249720,"21 CUSCADEN ROAD, SINGAPORE 249720",MING ARCADE,Retail,,
58727,"150 SOUTH BRIDGE ROAD, SINGAPORE 058727",FOOK HAI BUILDING,Office,,
159052,"8 LENGKOK BAHRU, SINGAPORE 159052",FAMILY LINK @ LENGKOK BAHRU,Office,,
179869,"7 CANNING RISE, SINGAPORE 179869",REGISTRY OF MARRIAGES,Office,,
539540,"1 DEFU AVENUE 1, SINGAPORE 539540",,Office,,
574421,"600 UPPER THOMSON ROAD, SINGAPORE 574421",UPPER THOMSON COMMUNITY HUB,Office,,
409074,"11 JALAN UBI, SINGAPORE 409074",KEMBANGAN-CHAI CHEE COMMUNITY HUB,Office,,
649696,"30 JURONG WEST STREET 24, SINGAPORE 649696",SINGAPORE BOYS' HOME,Office,,
159053,"20 LENGKOK BAHRU, SINGAPORE 159053",ENABLING VILLAGE,Office,,
648172,"3 BULIM DRIVE, SINGAPORE 648172",,Office,,
68892,"60 ROBINSON ROAD, SINGAPORE 068892",BEA BUILDING,Office,,
179804,"3 COLEMAN STREET, SINGAPORE 179804",PENINSULA SHOPPING COMPLEX,Hotel,,
208511,"101 KITCHENER ROAD, SINGAPORE 208511",JALAN BESAR PLAZA,Office,,
217562,"1 FARRER PARK STATION ROAD, SINGAPORE 217562",CONNEXION,Retail,,
239920,"83 CLEMENCEAU AVENUE, SINGAPORE 239920",UE SQUARE,Office,,
119960,"450 ALEXANDRA ROAD, SINGAPORE 119960",,Office,,
138639,"35 ROCHESTER DRIVE, SINGAPORE 138639",THE ROCHESTER,Retail,,
49246,"1 FINLAYSON GREEN, SINGAPORE 049246",ONE FINLAYSON GREEN,Office,,
538832,"93 HOUGANG AVENUE 4, SINGAPORE 538832",,Office,,
238840,"100 ORCHARD ROAD, SINGAPORE 238840",CONCORDE HOTEL AND SHOPPING MALL,Mixed Development,,
159047,"2 LENGKOK BAHRU, SINGAPORE 159047",,Office,,
189646,"180 BENCOOLEN STREET, SINGAPORE 189646",THE BENCOOLEN,Retail,,
159972,"323 ALEXANDRA ROAD, SINGAPORE 159972",ALEXANDRA CENTRAL,Hotel,,
179360,"30 HILL STREET, SINGAPORE 179360",,Office,,
159953,"370 ALEXANDRA ROAD, SINGAPORE 159953",ANCHORPOINT SHOPPING CENTRE,Retail,,
169565,"298 JALAN BUKIT HO SWEE, SINGAPORE 169565",,Office,,
79909,"3 ANSON ROAD, SINGAPORE 079909",SPRINGLEAF TOWER,Office,,
58357,"101 UPPER CROSS STREET, SINGAPORE 058357",PEOPLE'S PARK CENTRE,Mixed Development,,
58416,"20 UPPER CIRCULAR ROAD, SINGAPORE 058416",THE RIVERWALK,Mixed Development,,
38983,"3 TEMASEK BOULEVARD, SINGAPORE 038983",SUNTEC CITY MALL,Office,,
238862,"302 ORCHARD ROAD, SINGAPORE 238862",TONG BUILDING,Office,,
609958,"90 BOON LAY WAY, SINGAPORE 609958",YUHUA COMMUNITY CLUB,Office,,
207569,"165 TYRWHITT ROAD, SINGAPORE 207569",PARC SOVEREIGN HOTEL - TYRWHITT,Hotel,,
138522,"1 FUSIONOPOLIS PLACE, SINGAPORE 138522",GALAXIS,Office,,
588179,"170 UPPER BUKIT TIMAH ROAD, SINGAPORE 588179",BUKIT TIMAH SHOPPING CENTRE,Retail,,
48624,"80 RAFFLES PLACE, SINGAPORE 048624",UOB PLAZA,Office,,
69544,"156 CECIL STREET, SINGAPORE 069544",FAR EASTERN BANK BUILDING,Office,,
119954,"396 ALEXANDRA ROAD, SINGAPORE 119954",UOB ALEXANDRA BUILDING,Office,,
529539,"1 TAMPINES CENTRAL 1, SINGAPORE 529539",UOB TAMPINES CENTRE,Office,,
199598,"700 BEACH ROAD, SINGAPORE 199598",PREMIER INN,Hotel,,
150168,"168 JALAN BUKIT MERAH, SINGAPORE 150168",CONNECTION ONE,Office,,
310490,"490 LORONG 6 TOA PAYOH, SINGAPORE 310490",HDB HUB,Office,,
118257,"81 SCIENCE PARK DRIVE, SINGAPORE 118257",THE CHADWICK,Office,,
118258,"83 SCIENCE PARK DRIVE, SINGAPORE 118258",THE CURIE,Office,,
118259,"85 SCIENCE PARK DRIVE, SINGAPORE 118259",THE CAVENDISH,Office,,
208581,"9 KING GEORGES AVENUE, SINGAPORE 208581",PEOPLE'S ASSOCIATION,Office,,
68914,"160 ROBINSON ROAD, SINGAPORE 068914",SINGAPORE BUSINESS FEDERATION CENTER,Office,,
428778,"66 EAST COAST ROAD, SINGAPORE 428778",THE FLOW MALL,Retail,,
